Week,Day 1 (Mon) - Long Intervals (Threshold/VO2),Day 2 (Tue) - Strength (Full Body A),Day 3 (Wed) - Tempo Run / Steady State,Day 4 (Thu) - Strength (Full Body B),Day 5 (Fri) - Shorter Intervals / Hills,Day 6 (Sat) - Long Run (Zone 2),Day 7 (Sun) - Active Recovery / Rest
Wk 1,"30 minute easy run @ RPE 4 (conversational pace. 
 10 min Cool down with dynamic movements and stretches","Warm-up: Dynamic. 
 A. Back Squat: 4x6-8 (RPE 7-8) 
 B. Bench Press: 4x6-8 (RPE 7-8) 
 C. Barbell Rows: 4x8-10 (RPE 7-8) 
 D. Core: Plank Variations 3 sets. 
 Cool-down: Static.",Run: WU. 30-40 min @ Steady State (RPE 6-7) or 20-25 min Tempo (RPE 7-8). CD.,"Warm-up: Dynamic. 
 A. Deadlifts: 1x5 (RPE 8), then 3x5 @ RPE 7 
 B. Overhead Press: 4x6-8 (RPE 7-8) 
 C. Pull-ups/Chin-ups: 4xAMRAP 
 D. Walking Lunges (DBs): 3x10-12/leg. 
 Cool-down: Static.",Run: WU. 8-10 x 400m @ 5k pace (RPE 9) w/ 60-90s jog rec. OR Hill Repeats 6-8 x 60-90s hard uphill. CD.,Run: 90-120 min @ Easy Zone 2 pace (RPE 4-5). Conversational.,Active Recovery: 30-45 min very light cycle/swim/walk. Full mobility. OR Complete Rest.
Wk 2,Run: WU. 3-4 x 1200-1600m @ Threshold (RPE 8-9) w/ 2-3 min jog rec. CD.,"Warm-up: 5 min dynamic 
 Workout: 
 1. Kettlebell swings (moderate KB): 3 x 8-10 reps 
 2. DB rows: 3 x 15 each side 
 3. Walking Lunges: 3 x 6-8 reps/leg 
 4. Plank: 3 x 30-40 sec hold 
 Cool-down: 5 min static stretch",Run: WU. 40-50 min @ Steady State (RPE 6-7) or 2x15 min Tempo (RPE 7-8) w/ 3 min jog rec. CD.,"Warm-up: Dynamic. 
 A. Deadlifts: Work up to 1x3-5 (RPE 8-9) 
 B. Overhead Press: 4x5-6 (RPE 8) 
 C. Weighted Pull-ups: 4x3-6 
 D. Bulgarian Split Squats: 3x8-10/leg. 
 Cool-down: Static.",Run: WU. 6-8 x 600m @ Mile-3k pace (RPE 9+) w/ 2-3 min jog rec. OR Hill Repeats 8-10 x 45-60s hard. CD.,Run: 100-130 min @ Easy Zone 2 pace (RPE 4-5).,Active Recovery or Rest.
Wk 3,Run: WU. 5-6 x 1km @ VO2 Max Pace (RPE 9) w/ equal time jog rec. CD.,"Warm-up: Dynamic. 
 A. Back Squat: 3x5 (RPE 8-9) 
 B. Bench Press: 3x5 (RPE 8-9) 
 C. Barbell Rows: 3x5-6 (RPE 8-9) 
 D. Core Circuit. 
 Cool-down: Static.",Run: WU. 50-60 min @ Steady State (RPE 6-7) or 30 min Tempo (RPE 7-8). CD.,"Warm-up: Dynamic. 
 A. Deadlifts: Work to 1 heavy single/double (RPE 9), then back off sets. 
 B. Overhead Press: 3x5 (RPE 8-9) 
 C. Weighted Chin-ups: 3x3-5 
 D. RDLs: 3x8-10. 
 Cool-down: Static.",Run: WU. 10-12 x 200m Fast (RPE 9+) w/ 200m jog rec. OR Fartlek: 30 min (1 min hard / 1 min easy). CD.,Run: 120-150 min @ Easy Zone 2 pace (RPE 4-5). Longest in this phase.,Active Recovery or Rest.
Wk 4 (Deload),Run: WU. 3-4 x 800m @ Threshold (RPE 8) w/ 2 min jog rec. CD.,"Warm-up: 5 min dynamic 
 Workout: 
 1. Kettlebell swings (moderate KB): 3 x 16 reps 
 2. Bar Bell upright row: 3 x 8 
 3. Walking Lunges with 10kg plate: 3 x 6-8 reps/leg 
 4. Plank: 3 x 30-40 sec hold 
 Cool-down: 5 min static stretch","(Run): 10 min easy jog WU. Then 4 x (200m run @ RPE 6-7/10 / 200m walk/jog recovery). 5 min CD. 
 Or Rest and focus on recovery",Rest and focus on recovery,"Skill Focus (15-20 min): 
 1. Wall Balls: 3x8 with light med ball, focus on unbroken reps & breathing. 
 2. Sled Push: 3x15m with vcomfotable weight, focus on leg drive. 
 Light Compromised Run Intro: 2 Rounds: 
 8 Wall Balls (light) 
 15m Sled Push (light) 
 200m easy run 
 2 min Rest",Run: 75-90 min @ Easy Zone 2 pace (RPE 4-5).,Complete Rest.
Wk 5,Run: WU. 4-5 x 800m @ VO2 Max (RPE 9) w/ equal time jog rec. CD.,"Warm-up: Dynamic + CNS Prep (jumps). 
 A. Hang Power Cleans: 5x3 (Explosive) 
 B. Front Squats: 4x5-6 (RPE 8) 
 C. Glute Ham Raises: 3x8-12 
 D. Sled Push (Heavy): 4x20-25m. 
 Cool-down: Static.","Run: WU. 2x12 min Tempo (RPE 7-8) w/ 3 min jog. CD. 
 After Run: 2 Rds: 15 Wall Balls, 10 Burpees (light effort).","Warm-up: Dynamic + CNS Prep (throws). 
 A. DB Snatch (Alternating): 5x3/arm (Explosive) 
 B. Incline Bench Press: 4x6-8 (RPE 8) 
 C. Weighted Pull-ups: 4xMax-1 
 D. Farmer's Carry (Heavy): 4x40m. 
 Cool-down: Static.","Hyrox Combo Focus: 3 Rounds: 
 10 Wall Balls (light-mod) 
 20m Sled Push (light-mod) 
 400m light run
 90s-2min Rest 
 Focus: Smooth transitions.
 Finish with 1000m row","Run: 90-100 min @ Easy Z2, include 20-30 min @ Marathon Pace (RPE 6).",Active Recovery or Rest.
Wk 6,Run: WU. 8-10 x (1 min ON @ RPE 9-10 / 1 min OFF jog). CD.,"Warm-up: 5 min dynamic 
 Workout (Full Body Strength): 
 1.Front Squat : 3x8 
 2. DB Incline Press: 3x12-15 
 3. Single Arm DB Row: 3x10-12/arm 
 4. Sled Pull (if available, light) o Ring rows or Banded Pull-aparts 3x15-20 
 Cool-down: 5 min static stretch","Run: WU. 25-30 min Tempo (RPE 7-8). CD. 
 After Run: 3 Rds: 250m Row, 15 KB Swings (mod).",Rest and focus on recovery,"Hyrox Combo Focus: 3 Rounds: 
 250m Row (moderate) 
 10 Burpees (scaled as needed) 
 400m light jog 
 20m walking lunges
 90s-2min Rest 
 Focus: Managing heart rate.","Run: 100-110 min @ Easy Z2, include 2x10 min @ Half Marathon Pace (RPE 7) w/ 5 min jog.",Active Recovery or Rest.
Wk 7,Run: WU. 5-6 x (400m @ Mile pace RPE 10 / 400m jog rec). CD.,"Warm-up: 5 min dynamic 
 Workout (Strength Endurance Circuit - 3 Rounds): 
 1. DB Thrusters (light) x10-12 (squat to press) 
 2. Renegade Rows (light DBs, from plank) x6-8/arm 
 3. Burpees (scaled) x5-8 
 4. Farmer's Carry x40m 
 Rest 60-90s between rounds. 
 Cool-down: 5 min static stretch","Run: WU. 2x15 min Tempo (RPE 8) w/ 3 min jog. CD. 
 Compromised: Run 800m, 20 Burpee Broad Jumps, Run 800m (strong effort).","Warm-up: 5 min dynamic 
 Workout (Focus: Posterior Chain & Push): 
 1. KB/DB Swings (learn form first): 3x15-20 
 2. Push Press (DBs/light barbell): 3x10-12 
 3. Glute Ham Raises (or bridges if no GHR): 3x10-15 
 4. Wall Balls: 3x10-12 
 Cool-down: 5 min static stretch","Hyrox Mini Block: 2 Rounds: 
 Run 400m (easy) 
 SkiErg 250m (or 60s strong band pulls) 
 Sled Push 25m (moderate) 
 Run 400m (easy) 
 Rest 2-3 min between rounds.
 Finish with 50 wall balls","Run: 110-120 min @ Easy Z2, include 3-4km @ Target Hyrox Race Pace (broken into 1km repeats if needed).",Active Recovery or Rest.
Wk 8 (Transition/Deload),Run: WU. 6-8 x 200m @ RPE 9 w/ 200m jog. CD.,"Warm-up: 5 min dynamic 
 Workout (Strength Endurance Circuit - 3 Rounds): 
 1. Bar bell Front Squats x12-15 
 2. Push-ups (decline if possible) xAMRAP 
 3. Box Jump overs x10 
 4. Plank with arm reach x10/arm 
 Rest 60s between rounds. 
 Cool-down: 5 min static stretch",Run: WU. 30 min Easy Run (RPE 5) + Strides. CD.,Rest and focus on recovery,"Hyrox Mini Block: 2 Rounds: 
 Run 400m (steady) 
 RowErg 250m 
 10 Burpee Broad Jumps (or scaled burpees + 2 broad jumps) 
 Run 400m (steady) 
 Rest 2-3 min between rounds.x",Run: 75 min @ Easy Zone 2 pace (RPE 4-5).,Complete Rest.
Wk 9,Run: WU. 4-5 x 1km @ Target Hyrox Race Pace (RPE 9) w/ 2-3 min jog recovery. CD.,"Warm-up: Dynamic. 
 Hyrox Strength Circuit (3-4 Rds): 
 8-10 Wall Balls (Heavy, unbroken) 
 50m Sled Push (Race weight) 
 8-10 Burpee Broad Jumps (Max distance) 
 50m Farmer's Carry (Race weight) 
 Rest 1 min btw rds. 
 Cool-down: Static.","Run: 30-40 min Easy (RPE 4-5). CD. 
 Optional Light Compromised: After run: 2 Rds: 200m Row (or 20 burpees), 10 Air Squats, 10 Push-ups.","Hyrox Simulation: Stations 1-4 (Ski, Sled Push, Sled Pull, Burpee BJ) + intervening runs. Aim for race intensity and transitions. 
 OR ""Rox Zone"" Day: e.g., 3 Rds: 800m Run, 500m Ski, 25m Sled Push (heavy) - Rest 3 min.","Hyrox Simulation (Partial): 
 Run 800m (easy pace to start) 
 THEN 2 Rounds of: 
 Station 1: SkiErg 500m
 Run 400m (steady) 
 Station 2: Sled Push 25m (moderate) 
 Run 400m (steady) 
 
 Finish with 50 wall balls
 Cool Down. Focus: transitions, managing effort.",Run: 90 min. Middle 30-40 min alternating 800m @ Race Pace / 800m Easy.,Active Recovery or Rest.
Wk 10,Run: WU. 6-8 x 800m @ Target Hyrox Race Pace (or slightly faster) (RPE 9-10) w/ 90s-2min jog rec. CD.,"Warm-up: 5 min dynamic 
 Workout (Hyrox Prep Strength - 3 rounds): 
 1. 300m row
 2. DB Snatch (learn form, light) x5-6/arm OR DB Clean & Press x8 
 3. Burpee Broad Jumps x5-6 
 4. Farmer's Carry x50m (challenging) 
 Rest 60s. 
 Cool-down: 5 min static stretch","Run: 30 min Easy (RPE 4-5). CD. 
 Optional: Light mobility and core.","Full Hyrox Simulation (or very close to it). 
 Treat as a race day rehearsal. Focus on nutrition, hydration, pacing, transitions. 
 If not full sim, then 2-3 major blocks (e.g., Stations 1-3, then Stations 5-7).",Run: WU. 10-12 x 400m @ 1-2s faster than 1km Race Pace avg. (RPE 10) w/ 60-90s jog rec. CD.,Run: 75 min. Middle 20-30 min @ slightly faster than Race Pace (continuous or broken).,Active Recovery or Rest.
Wk 11,Run: WU. 3 x 1km @ Target Hyrox Race Pace (RPE 9) w/ full 3-4 min recovery. Focus on quality. CD.,"Warm-up: 5 min dynamic 
 Workout (Moderate Strength - 2-3 rounds): 
 1. Goblet Squats x10-12 
 2. Push-ups x10-15 
 3. Walking Lunges x8-10/leg 
 4. Plank x45s 
 Focus on quality. 
 Cool-down: 5 min static stretch",Run: 25-30 min Very Easy (RPE 3-4). CD.,"Hyrox Key Block Focus: 
 E.g., Stations 7 & 8 (Lunges, Wall Balls) + Run: 
 Run 800m 
 100m Sandbag Lunges 
 Run 800m 
 75-100 Wall Balls (partition as in race) 
 Run 800m 
 Repeat 1-2x with good rest.","Hyrox Simulation (Light & Short): 
 Run 400m 
 1 Round of: 
 Wall Balls x10 
 Run 200m 
 Sled Push 15m (light) 
 Run 200m 
 Lunges 30m
 Run 200m 
 Focus: Feeling good, transitions.",Run: 60 min Easy. Last 1km @ Race Pace.,Active Recovery or Rest.
Wk 12 (Start Taper),Run: WU. 2 x 1km @ Target Hyrox Race Pace (RPE 9) w/ 5 min rec. CD.,"Warm-up: Dynamic. 
 Light Full Body Activation (2 Rds): 
 Air Squats x10 
 Push-ups x10 
 Band Pull-Aparts x15 
 Plank 30s. 
 NO FATIGUE. 
 Cool-down: Static.",Run: 20-30 min Very Easy (RPE 3-4). CD.,Rest or Very Light Mobility & Transition Walk-through (no load).,Run: WU. 4 x 400m @ Target Race Pace (RPE 9) w/ full rec. CD.,Run: 45 min Very Easy. Optional 2-3x100m strides.,Complete Rest.
Wk 13,Run: WU. 3-4 x 400m @ slightly FASTER than Race Pace (RPE 9-10) w/ full rec. CD.,"Light full body mobility, foam roll. Focus on feeling good.",Run: 15-20 min Very Easy (RPE 3) + 2-3x100m strides. OR Rest.,Run: WU. 2 x 200m @ Race Pace (RPE 9) w/ full rec. CD. OR Rest.,"Rest. Light walk if antsy. Focus on hydration, nutrition, mental prep.","Travel / Pre-Race Prep. Check in, course walk-through if possible.",Rest. Finalize race plan.
Wk 14,Run: Optional: 10-15 min very easy jog (RPE 2-3) + 2x50m strides. Shakeout.,Rest or Very light dynamic warm-up movements.,Rest. Mental rehearsal.,Rest. Final gear check.,"Rest. Hydrate, eat light.","HYROX RACE DAY! 
 Execute warm-up protocol. 
 Trust your training. 
 Compete!","CELEBRATE! 
 Post-race nutrition & hydration. 
 Light walk. Reflect."