Week,Day 1 (Mon) - Interval Run,Day 2 (Tue) - Strength (Lower/Push Focus),Day 3 (Wed) - Tempo/Threshold Run,Day 4 (Thu) - Strength (Upper/Pull Focus),Day 5 (Fri) - Compromised Running / Hyrox Block,Day 6 (Sat) - Long Run,Day 7 (Sun) - Rest/Active Recovery
Wk 1: Re-Acclimation,"30 minute easy run @ RPE 4 (conversational pace. 
 10 min Cool down with dynamic movements and stretches","Warm-up: Dynamic 
 A1. Back Squats: 3x8-10 (RPE 7-8) 
 A2. Push-ups: 3xAMRAP-2 (leave 2 in tank) 
 B1. RDLs: 3x10-12 (RPE 7) 
 B2. DB Bench Press: 3x10-12 (RPE 7-8) 
 C. Sled Push: 4x30m (Moderate load) 
 Cool-down: Static","Run: 10 min WU. 
 20 min @ Tempo pace (RPE 7 - comfortably hard). 
 10 min CD.","Warm-up: Dynamic 
 A1. Deadlifts: 1x5 (RPE 8), then 2x5 @ RPE 7 OR Barbell Rows 3x8-10 
 A2. DB Overhead Press: 3x8-10 (RPE 7-8) 
 B1. Walking Lunges (DBs): 3x10-12/leg 
 B2. Pull-ups (or Lat Pulldowns): 3xAMRAP / 8-12 reps 
 C. Farmer's Carry: 4x40m (Heavy) 
 Cool-down: Static","Hyrox Intro Block: 
 Run 800m @ RPE 6 
 THEN 3 Rounds: 
 10 Wall Balls 
 10 Burpees 
 200m Run @ RPE 7 
 Rest 60s between rds. 
 Run 800m @ RPE 6 CD.",Run: 60-75 min @ Easy Pace (RPE 4-5). Conversational.,"Rest or 
 Active Recovery: 30 min light cycle/walk, mobility."
Wk 2: Building Volume,"Run: 10-15 min WU. 
 5-6 x 600m @ RPE 8 with 300m jog recovery. 
 10 min CD.","Warm-up: 5 min dynamic 
 Workout: 
 1. Kettlebell swings (moderate KB): 3 x 8-10 reps 
 2. DB rows: 3 x 15 each side 
 3. Walking Lunges: 3 x 6-8 reps/leg 
 4. Plank: 3 x 30-40 sec hold 
 Cool-down: 5 min static stretch","Run: 10 min WU. 
 2x10 min @ Tempo pace (RPE 7) with 3 min jog recovery between. 
 10 min CD.","Warm-up: Dynamic 
 A1. Barbell Rows: 3x8 (RPE 8) 
 A2. Push Press (BB or DB): 3x6-8 (RPE 8) 
 B1. Bulgarian Split Squats: 3x8-10/leg 
 B2. Chin-ups (or Band Assisted): 3xAMRAP 
 C. Sandbag Carry (Bear Hug): 3x50m 
 Cool-down: Static","Compromised Run: 
 3 Rounds: 
 500m Row (RPE 8) 
 400m Run (RPE 7-8) 
 Rest 90s. 
 THEN 
 3 Rounds: 
 15 Kettlebell Swings (Mod-Heavy) 
 200m Run (RPE 7-8) 
 Rest 60s.",Run: 75-90 min @ Easy Pace (RPE 4-5).,"Rest or 
 Active Recovery: 30 min light cycle/walk, mobility."
Wk 3: Adding Intensity,"Run: 10-15 min WU. 
 4-5 x 800m @ RPE 8-9 (Threshold pace) with 400m jog recovery. 
 10 min CD.","Warm-up: Dynamic 
 A1. Front Squats: 3x6-8 (RPE 8) 
 A2. Weighted Push-ups: 3x8-12 (RPE 8) 
 B1. DB RDLs: 3x10 (RPE 8) 
 B2. DB Floor Press: 3x10-12 (RPE 8) 
 C. Sled Pull: 4x30m (Heavy) 
 Cool-down: Static",Rest or 10-15 min very light jog / walk.,"Warm-up: Dynamic 
 A1. Deadlifts: Work up to a challenging set of 3-5 (RPE 8-9) 
 A2. Strict Press (BB): 3x6-8 (RPE 8) 
 B1. Reverse Lunges (DBs): 3x8-10/leg 
 B2. Single Arm DB Rows: 3x8-10/arm 
 C. Wall Balls: 4x15-20 (focus on height & consistency) 
 Cool-down: Static","Hyrox Stations & Run: 
 SkiErg: 1000m (Time Trial effort) 
 Rest 3 min 
 Sled Push: 4 x 25m (Heavy, short rest) 
 Rest 3 min 
 Run: 3 x 800m @ RPE 7 with 90s rest.","Run: 90 min @ Easy Pace (RPE 4-5). 
 Optional: Last 15 min @ RPE 6.","Rest or 
 Active Recovery: 30 min light cycle/walk, mobility."
Wk 4: Consolidating,"Run: 10-15 min WU. 
 Pyramid: 400m, 600m, 800m, 600m, 400m @ RPE 8-9 with equal distance jog recovery. 
 10 min CD.","Warm-up: 5 min dynamic 
 Workout: 
 1. Kettlebell swings (moderate KB): 3 x 16 reps 
 2. Bar Bell upright row: 3 x 8 
 3. Walking Lunges with 10kg plate: 3 x 6-8 reps/leg 
 4. Plank: 3 x 30-40 sec hold 
 
 Build to heavy 3 rep front squat
 Cool-down: 5 min static stretch",(Run): 10 min easy jog WU. Then 4 x (200m run @ RPE 6-7/10 / 200m walk/jog recovery). 5 min CD.,"Warm-up: 5 min dynamic 
 Workout: 
 1. Bar bell deadlift: 3 x 12-15 reps 
 2. DB Overhead Press (light): 3 x 8-10 reps 
 3. Farmer's Carry: 3 x 50-60 sec walk or 2x 25-30m for distance. 
 4. DB Rows (progress weight or reps): 3 x 10-12 reps/arm 
 Cool-down: 5 min static stretch","Skill Focus (15-20 min): 
 1. Wall Balls: 3x8 with light med ball, focus on unbroken reps & breathing. 
 2. Sled Push: 3x15m with vcomfotable weight, focus on leg drive. 
 Light Compromised Run Intro: 2 Rounds: 
 8 Wall Balls (light) 
 15m Sled Push (light) 
 200m easy run 
 2 min Rest",Run: 75 min @ Easy Pace (RPE 4-5). Deload week for long run.,"Rest or 
 Active Recovery: 30 min light cycle/walk, mobility."
Wk 5: Power Endurance Intro,"Run: 10-15 min WU. 
 3-4 x 1km @ RPE 8-9 (Threshold pace) with 2:00-2:30 min jog recovery. 
 10 min CD.","Warm-up: Dynamic 
 A. Power Cleans (or DB Hang Cleans): 5x3 (focus on explosive power, RPE 7) 
 B1. Front Squats: 3x5 (RPE 8) 
 B2. Plyo Push-ups (or clapping): 3x5-8 
 C. Sled Sprint: 5x20m (Lighter load, max speed) 
 Cool-down: Static","Run: 10 min WU. 
 Broken Tempo: 12 min @ RPE 7, 3 min jog, 10 min @ RPE 7. 
 10 min CD.","Warm-up: Dynamic 
 A. DB Snatch (alternating): 5x3/arm (explosive, RPE 7) 
 B1. Bench Press: 3x5 (RPE 8) 
 B2. Box Jumps (or Broad Jumps): 3x5 
 C. Wall Balls for height/power: 3x10-12 
 Cool-down: Static","Hyrox Combo Focus: 3 Rounds: 
 10 Wall Balls (light-mod) 
 20m Sled Push (light-mod) 
 400m light run
 90s-2min Rest 
 Focus: Smooth transitions.
 Finish with 1000m row",Run: 90-100 min @ Easy Pace (RPE 4-5).,"Rest or 
 Active Recovery: 30 min light cycle/walk, mobility."
Wk 6: Building Power Endurance,"Run: 10-15 min WU. 
 6-8 x 2 min ON (RPE 9), 2 min OFF (jog/walk). 
 10 min CD.","Warm-up: 5 min dynamic 
 Workout (Strength Endurance Circuit - 2-3 Rounds): 
 1. Goblet Squats x15 
 2. Push-ups x AMRAP - max explosive 
 3. Walking Lunges with sandbag x10/leg 
 4. Wall ball sit-up x 20",Rest or 10-15 min very light jog / walk.,"Warm-up: 5 min dynamic 
 Workout (Full Body Strength): 
 1.Front Squat : 3x8 
 2. DB Incline Press: 3x12-15 
 3. Single Arm DB Row: 3x10-12/arm 
 4. Sled Pull (if available, light) o Ring rows or Banded Pull-aparts 3x15-20 
 Cool-down: 5 min static stretch","Hyrox Combo Focus: 3 Rounds: 
 250m Row (moderate) 
 10 Burpees (scaled as needed) 
 400m light jog 
 20m walking lunges
 90s-2min Rest 
 Focus: Managing heart rate.",Run: 100-110 min @ Easy Pace (RPE 4-5).,"Rest or 
 Active Recovery: 30 min light cycle/walk, mobility."
Wk 7: Peak Volume / Intensity,"Run: 10-15 min WU. 
 5 x 1km @ RPE 8-9 (Target 1k Race Pace or slightly faster) with 2:30-3:00 min jog recovery. 
 10 min CD.","Warm-up: 5 min dynamic 
 Workout (Strength Endurance Circuit - 3 Rounds): 
 1. DB Thrusters (light) x10-12 (squat to press) 
 2. Renegade Rows (light DBs, from plank) x6-8/arm 
 3. Burpees x12
 4. Farmer's Carry x40m 
 Rest 60-90s between rounds. 
 Cool-down: 5 min static stretch","Run: 10 min WU. 
 30 min @ Tempo pace (RPE 7). 
 10 min CD.","Warm-up: 5 min dynamic 
 Workout (Focus: Posterior Chain & Push): 
 1. KB/DB Swings (learn form first): 3x15-20 
 2. Push Press (DBs/light barbell): 3x10-12 
 3. Glute Ham Raises (or bridges if no GHR): 3x10-15 
 4. Wall Balls: 3x10-12 
 
 Build to heavy 3 rep barbell reverse lunge 
 Cool-down: 5 min static stretch","Hyrox Mini Block: 2 Rounds: 
 Run 400m (easy) 
 SkiErg 250m (or 60s strong band pulls) 
 Sled Push 25m (moderate) 
 Run 400m (easy) 
 Rest 2-3 min between rounds.
 Finish with 50 wall balls",Run: 110-120 min @ Easy Pace (RPE 4-5). Longest run.,"Rest or 
 Active Recovery: 30 min light cycle/walk, mobility."
Wk 8: Deload / Recovery Focus,"Run: 10-15 min WU. 
 6 x 400m @ RPE 7-8 (controlled) with 400m jog recovery. 
 10 min CD.","Warm-up: 5 min dynamic 
 Workout (Strength Endurance Circuit - 3 Rounds): 
 1. Barbell Front Squats x12-15 
 2. Push-ups (decline if possible) xAMRAP 
 3. Box Jump overs x10 
 4. Plank with arm reach x10/arm 
 Rest 60s between rounds. 
 Cool-down: 5 min static stretch","Run: 10 min WU. 
 20 min @ Easy Pace (RPE 4-5) with 4x30s strides mixed in. 
 10 min CD.","Warm-up: 5 min dynamic 
 Workout (Focus: Pull & Carry): 
 1. Deadlifts (light DBs/KB, focus on form): 3x8-10 
 2. Pull-ups (assisted or Lat Pulldowns/Band Rows): 3xAMRAP or 8-12 reps 
 3. Box dips 10 or max reps
 4. Farmer's Carry (heavy as good form allows): 3x30-40m 
 Cool-down: 5 min static stretch","Hyrox Mini Block: 2 Rounds: 
 Run 400m (steady) 
 RowErg 250m 
 10 Burpee Broad Jumps (or scaled burpees + 2 broad jumps) 
 Run 400m (steady) 
 Rest 2-3 min between rounds.x",Run: 60 min @ Easy Pace (RPE 4-5).,"Rest or 
 Active Recovery: 30 min light cycle/walk, mobility."
Wk 9: Re-Build Specificity,"Run: 10-15 min WU. 
 8-10 x (400m @ RPE 9 / 90s jog recovery). Shorter, faster. 
 10 min CD.","Warm-up: Dynamic 
 A1. Back Squats: 3x6-8 (RPE 8) 
 A2. Incline DB Press: 3x8-10 (RPE 8) 
 B. Sled Push Ladders: 10m, 20m, 30m, 20m, 10m (Mod-Heavy, rest as needed) 
 C. Core: Hollow Hold 3x30-45s 
 Cool-down: Static","Run: 10 min WU. 
 Cruise Intervals: 3 x (6 min @ RPE 8 / 2 min jog recovery). 
 10 min CD.",Rest and focus on recovery,"Hyrox Simulation (Partial): 
 Run 800m (easy pace to start) 
 THEN 2 Rounds of: 
 Station 1: SkiErg 500m
 Run 400m (steady) 
 Station 2: Sled Push 25m (moderate) 
 Run 400m (steady) 
 
 Finish with 50 wall balls
 Cool Down. Focus: transitions, managing effort.","Run: 90 min @ Easy Pace (RPE 4-5). Include 6-8 Hills (30-45s hard uphill, jog down recovery).","Rest or 
 Active Recovery: 30 min light cycle/walk, mobility."
Wk 10: Peak Specificity,"Run: 10-15 min WU. 
 6 x 800m @ RPE 9 (Target 1k Race Pace - 5-10s) with 2:30 min jog recovery. 
 10 min CD.","Warm-up: 5 min dynamic 
 Workout (Hyrox Prep Strength - 3 rounds): 
 1. 300m row
 2. DB Snatch (learn form, light) x5-6/arm OR DB Clean & Press x8 
 3. Burpee Broad Jumps x5-6 
 4. Farmer's Carry x50m (challenging) 
 Rest 60s. 
 Cool-down: 5 min static stretch","Run: 10 min WU. 
 20 min @ Tempo pace (RPE 7), steady. 
 10 min CD.",Rest and focus on recovery,"Hyrox Simulation (Full Half or Key Sections): 
 E.g., Stations 1-4 with runs at race intensity. 
 Run 1km - Ski 1km - Run 1km - Sled Push 50m - Run 1km - Sled Pull 50m - Run 1km - Burpee Broad Jump 80m. 
 Focus on transitions & pacing.","Run: 75 min @ Easy Pace (RPE 4-5). 
 Mid-run: 2km @ Target Hyrox Race Pace.","Rest or 
 Active Recovery: 30 min light cycle/walk, mobility."
Wk 11: Pre-Taper Sharpening,"Run: 10-15 min WU. 
 2 sets of (3 x 400m @ RPE 9-10, 60s rest / 400m jog recovery between sets). 
 10 min CD.","Warm-up: 5 min dynamic 
 Workout (Moderate Strength - 2-3 rounds): 
 1. Goblet Squats x10-12 
 2. Push-ups x10-15 
 3. Walking Lunges x8-10/leg 
 4. Plank x45s 
 Focus on quality. 
 Cool-down: 5 min static stretch",Rest and focus on recovery,"Run: 10 min WU. 
 15 min @ Tempo (RPE 7). 
 10 min CD.","Hyrox Simulation (Light & Short): 
 Run 400m 
 1 Round of: 
 Wall Balls x10 
 Run 200m 
 Sled Push 15m (light) 
 Run 200m 
 Lunges 30m
 Run 200m 
 Focus: Feeling good, transitions.",Run: 60 min @ Easy Pace (RPE 4-5).,"Rest or 
 Active Recovery: 30 min light cycle/walk, mobility."
Wk 12: Taper Week 1,"Run: 10-15 min WU. 
 4 x 400m @ Target Race Pace 1km (RPE 8-9) with full walk/jog recovery (3-4 min). 
 10 min CD.","Warm-up: Dynamic 
 Light Full Body Circuit (2 rounds): 
 Bodyweight Squats x10 
 Incline Push-ups x10 
 Band Pull-Aparts x15 
 Bird-Dog x10/side. NO FATIGUE. 
 Cool-down: Static","Run: 10 min WU. 
 10 min @ Easy Pace (RPE 4) + 4x20s strides. 
 10 min CD.",Rest and focus on recovery,"Light Skill Work / Transitions: 
 15-20 min practicing transitions between 2-3 key stations, very light/no load. Focus on smoothness. 
 OR Complete Rest.",Run: 45 min @ Very Easy Pace (RPE 3-4).,Rest & Hydrate Well.
Wk 13: Taper Week 2 (Race Week Minus 1),"Run: 10 min WU. 
 3 x 200m @ Faster than Race Pace (RPE 9) with full recovery. 
 10 min CD.",Rest or Very Light Mobility/Stretch,"Run: 10 min WU. 
 2 x (1 min @ Target Hyrox Run Pace / 2 min easy jog). 
 5 min CD.","Warm-up: Dynamic 
 Very Light Bodyweight Circuit (1-2 rounds): 
 Air Squats x8 
 Wall Push-ups x8 
 Plank 20s. NO FATIGUE.",Rest or Short Walk (15-20 min),"Run: 20-30 min @ Very Easy Pace (RPE 3). 
 Optional: 2x100m strides. Shake out.",Rest & Hydrate. Visualize.
Wk 14: RACE WEEK!,Run: 15-20 min very easy jog. Focus on feeling fresh. (RPE 2-3/10).,Rest or light mobility work.,Rest or 10-15 min very light jog / walk.,Rest or Very light mobility/activation. Travel if needed.,Rest. Final mental prep. Hydrate. Eat well.,"HYROX RACE DAY! 
 Warm-up well. 
 Execute your race plan. 
 Push hard!","CELEBRATE & RECOVER! 
 Active recovery: gentle walk. 
 Refuel & Rehydrate. Plan your next one!"