Week,Day 1 (Mon) - Interval Run (VO2 Max/Speed),Day 2 (Tue) - Strength (Full Body - Maintenance/Hyrox),Day 3 (Wed) - Tempo/Threshold Run,Day 4 (Thu) - Easy Run + Drills/Strides,Day 5 (Fri) - Strength (Maintenance/Power) OR Hyrox Skill/Light Combo,Day 6 (Sat) - Long Run,Day 7 (Sun) - Rest/Active Recovery
Wk 1: Base Building,"30 minute easy run @ RPE 4 (conversational pace. 
 10 min Cool down with dynamic movements and stretches","Warm-up: Dynamic. 
 A. Back Squat: 3x6-8 (RPE 7-8) 
 B. DB Bench Press: 3x8-10 (RPE 7) 
 C. Farmer's Carry: 3x40m (Mod-Heavy) 
 D. Plank Variations: 3 sets. 
 Cool-down: Static.",Run: WU. 20-25 min @ Tempo (RPE 7-8). CD.,"Run: 30-40 min Easy (RPE 4-5). 
 After: 4-6 x 100m Strides, Running Drills (A-skips, B-skips, butt kicks).","Strength: 
 A. RDLs: 3x8-10 (RPE 7) 
 B. Push-ups: 3xAMRAP-2 
 C. Light Sled Push: 3x25m (focus on technique) 
 D. Wall Ball Practice: 3x10-12 (light).",Run: 75-90 min @ Easy Pace (RPE 4-5). Conversational.,"Rest or 
 Active Recovery: 30 min light cycle/walk, mobility."
Wk 2: Increasing Mileage,Run: WU. 6-8 x 600m @ 5k-10k pace (RPE 8) w/ 300-400m jog rec. CD.,"Warm-up: 5 min dynamic 
 Workout: 
 1. Kettlebell swings (moderate KB): 3 x 8-10 reps 
 2. DB rows: 3 x 15 each side 
 3. Walking Lunges: 3 x 6-8 reps/leg 
 4. Plank: 3 x 30-40 sec hold 
 Cool-down: 5 min static stretch",Run: WU. 2x12 min @ Tempo (RPE 7-8) w/ 3 min jog rec. CD.,"Run: 40-45 min Easy (RPE 4-5). 
 After: 4-6 x 100m Strides, Running Drills.","Strength/Power: 
 A. Deadlifts (conventional or trap bar): 1x5 (RPE 8), then 2x5 @ RPE 7 
 B. Box Jumps (low): 3x5-8 OR Broad Jumps 3x5. 
 C. Sled Pull Practice: 3x25m (light).",Run: 90-100 min @ Easy Pace (RPE 4-5).,"Rest or 
 Active Recovery."
Wk 3: Adding Intensity,Run: WU. 5-6 x 800m @ 10k pace (RPE 8) w/ 400m jog rec. CD.,"Warm-up: Dynamic. 
 A. Front Squats: 3x5-6 (RPE 8) 
 B. Weighted Push-ups: 3x8-12 (RPE 8) 
 C. Farmer's Carry (Heavy): 3x30m 
 D. Hollow Holds/Rocks. 
 Cool-down: Static.",Run: WU. 25-30 min @ Threshold Pace (RPE 8). CD.,"Run: 45-50 min Easy (RPE 4-5). 
 After: 4-6 x 100m Strides.","Hyrox Skill/Light Combo: 
 SkiErg Technique: 5-10 min. 
 RowErg Technique: 5-10 min. 
 Light Combo: 2 Rds: 250m Row, 10 Wall Balls, 200m Jog.",Run: 100-110 min @ Easy Pace (RPE 4-5).,"Rest or 
 Active Recovery."
Wk 4: Consolidating Mileage,"Run: WU. Pyramid: 400, 600, 800, 1000, 800, 600, 400m @ 5k-10k pace (RPE 8-9) w/ equal dist. jog rec. CD.","Warm-up: 5 min dynamic 
 Workout: 
 1. Kettlebell swings (moderate KB): 3 x 16 reps 
 2. Bar Bell upright row: 3 x 8 
 3. Walking Lunges with 10kg plate: 3 x 6-8 reps/leg 
 4. Plank: 3 x 30-40 sec hold 
 Cool-down: 5 min static stretch",(Run): 10 min easy jog WU. Then 4 x (200m run @ RPE 6-7/10 / 200m walk/jog recovery). 5 min CD.,"Run: 50-60 min Easy (RPE 4-5). 
 After: 4-6 x 100m Strides.","Endurance Focus
 40 minute E2MOM
 Every 2 minutes:
 Min 0 - 200m Ski
 Min 2: 20 KB Swings
 Min 4: 20 Sandbag/Plate Lunges
 Min 6: 20 Wallballs
 repeat for 5 rounds",Run: 90 min @ Easy Pace (RPE 4-5). Slightly reduced long run.,"Rest or 
 Active Recovery."
Wk 5: Building Threshold,Run: WU. 4-5 x 1km @ 10k pace / Threshold (RPE 8-9) w/ 2:00-2:30 jog rec. CD.,"Warm-up: Dynamic. 
 A. Goblet Squats: 3x10 (RPE 7-8) 
 B. Push Press (DB or BB): 3x6-8 (RPE 7-8) 
 C. Wall Balls: 3x15-20 (Endurance) 
 D. Side Planks. 
 Cool-down: Static.","Run: WU. 20 min Tempo (RPE 7-8), then 4x200m @ Mile pace (RPE 10) w/ 200m jog. CD.","Run: 50-55 min Easy (RPE 4-5). 
 After: 6-8 x 100m Strides.","Hyrox Combo Focus: 3 Rounds: 
 10 Wall Balls (light-mod) 
 20m Sled Push (light-mod) 
 400m light run
 90s-2min Rest 
 Focus: Smooth transitions.
 Finish with 1000m row",Run: 110-120 min @ Easy Pace (RPE 4-5).,"Rest or 
 Active Recovery."
Wk 6: Peak Mileage Intro,Run: WU. 8-10 x (Hill Repeats 45-60s hard uphill / jog down rec) OR 10-12 x 400m @ 5k pace. CD.,"Warm-up: 5 min dynamic 
 Workout (Strength Endurance Circuit - 2-3 Rounds): 
 1. Goblet Squats x15 
 2. Push-ups x AMRAP - max explosive 
 3. Walking Lunges with sandbag x10/leg 
 4. Wall ball sit-up",Run: WU. 2x15 min @ Threshold Pace (RPE 8) w/ 3 min jog rec. CD.,Run: 60 min Easy (RPE4-5),"Hyrox Combo Focus: 3 Rounds: 
 250m Row (moderate) 
 10 Burpees (scaled as needed) 
 400m light jog 
 20m walking lunges
 90s-2min Rest 
 Focus: Managing heart rate.",Run: 120-130 min @ Easy Pace (RPE 4-5). Longest mileage focus.,"Rest or 
 Active Recovery."
Wk 7: Sustaining Volume,Run: WU. 5-6 x 1km @ Threshold (RPE 8-9) w/ 2 min jog rec. CD.,"Warm-up: 5 min dynamic 
 Workout (Strength Endurance Circuit - 3 Rounds): 
 1. DB Thrusters (light) x10-12 (squat to press) 
 2. Renegade Rows (light DBs, from plank) x6-8/arm 
 3. Burpees (scaled) x5-8 
 4. Farmer's Carry x40m 
 Rest 60-90s between rounds. 
 Cool-down: 5 min static stretch",Run: WU. 30 min @ Tempo (RPE 7-8) continuous. CD.,Run: 40 min Easy (RPE4-5),"Hyrox Mini Block: 2 Rounds: 
 Run 400m (easy) 
 SkiErg 250m (or 60s strong band pulls) 
 Sled Push 25m (moderate) 
 Run 400m (easy) 
 Rest 2-3 min between rounds.
 Finish with 50 wall balls",Run: 130-140 min @ Easy Pace (RPE 4-5). Peak long run.,"Rest or 
 Active Recovery."
Wk 8: Mileage Deload,Run: WU. 6-8 x 400m @ 5k pace (RPE 8) w/ 400m jog rec. CD.,"Warm-up: 5 min dynamic 
 Workout (Strength Endurance Circuit - 3 Rounds): 
 1. Bar bell Front Squats x12-15 
 2. Push-ups (decline if possible) xAMRAP 
 3. Box Jump overs x10 
 4. Plank with arm reach x10/arm 
 Rest 60s between rounds. 
 Cool-down: 5 min static stretch",Rest and focus on recovery,Run: 30 min Easy (RPE4-5),"Hyrox Mini Block: 2 Rounds: 
 Run 400m (steady) 
 RowErg 250m 
 10 Burpee Broad Jumps (or scaled burpees + 2 broad jumps) 
 Run 400m (steady) 
 Rest 2-3 min between rounds.x",Run: 75-90 min @ Easy Pace (RPE 4-5).,"Rest or 
 Active Recovery."
Wk 9: Sharpening Speed,Run: WU. 10-12 x 300m @ Mile-3k pace (RPE 9-10) w/ 300m jog rec. CD.,Rest and focus on recovery,Run: WU. Cruise Intervals: 3 x (8 min @ RPE 8 / 2 min jog rec). CD.,Run: 45-50 min Easy (RPE 4-5) + Drills/Strides.,"Hyrox Simulation (Partial): 
 Run 800m (easy pace to start) 
 THEN 2 Rounds of: 
 Station 1: SkiErg 500m
 Run 400m (steady) 
 Station 2: Sled Push 25m (moderate) 
 Run 400m (steady) 
 
 Finish with 50 wall balls
 Cool Down. Focus: transitions, managing effort.","Run: 100-110 min @ Easy Pace, include 6-8 Hill Repeats (45-60s hard).","Rest or 
 Active Recovery."
Wk 10: Peak Run Fitness,Run: WU. 6-8 x 800m @ Target Hyrox 1km Race Pace (or slightly faster) (RPE 9) w/ 90s-2min jog rec. CD.,"Warm-up: 5 min dynamic 
 Workout (Hyrox Prep Strength - 3 rounds): 
 1. 300m row
 2. DB Snatch (learn form, light) x5-6/arm OR DB Clean & Press x8 
 3. Burpee Broad Jumps x5-6 
 4. Farmer's Carry x50m (challenging) 
 Rest 60s. 
 Cool-down: 5 min static stretch","Run: WU. 2x10 min @ Threshold (RPE 8) w/ 5 min easy jog between, then 4x200m @ fast (RPE 9-10). CD.",Run: 50 min Easy (RPE 4-5).,"Hyrox Compromised Moderate: 
 Run 1km (RPE 7-8) 
 2 Rds: Row 500m, Sled Push 25m (Mod), Run 400m (RPE 7-8) 
 Rest 3 min between Rds.","Run: 90 min @ Easy Pace. Mid-run: 3-4km @ Target Hyrox Race Pace (can be broken, e.g., 3x1km).","Rest or 
 Active Recovery."
Wk 11: Pre-Taper,Run: WU. 2 sets of (4 x 400m @ 5k pace RPE 9 / 60s rest) w/ 400m jog rec between sets. CD.,"Warm-up: 5 min dynamic 
 Workout (Moderate Strength - 2-3 rounds): 
 1. Goblet Squats x10-12 
 2. Push-ups x10-15 
 3. Walking Lunges x8-10/leg 
 4. Plank x45s 
 Focus on quality. 
 Cool-down: 5 min static stretch",Run: WU. 20 min Tempo (RPE 7-8). CD.,Run: 40 min Easy (RPE 4-5) + Strides.,"Hyrox Simulation (Light & Short): 
 Run 400m 
 1 Round of: 
 Wall Balls x10 
 Run 200m 
 Sled Push 15m (light) 
 Run 200m 
 Lunges 30m
 Run 200m 
 Focus: Feeling good, transitions.",Run: 75 min @ Easy Pace.,"Rest or 
 Active Recovery."
Wk 12: Taper Week 1,Run: WU. 4-5 x 400m @ Target Race Pace 1km (RPE 8-9) w/ full walk/jog recovery (3-4 min). CD.,"Warm-up: Dynamic. 
 Light Full Body Circuit (2 rounds): 
 Air Squats x10-12 
 Incline Push-ups x10 
 Band Rows x12-15 
 Plank 30s. NO FATIGUE. 
 Cool-down: Static.",Run: WU. 15 min @ Easy Pace (RPE 4) + 4x20s strides. CD.,Run: 30 min Very Easy (RPE 3-4).,"Light Skill Work / Rest: 
 10-15 min transitions between 2 stations, no load. 
 OR Complete Rest.",Run: 60 min @ Very Easy Pace (RPE 3-4).,Rest & Hydrate Well.
Wk 13: Taper Week 2,Run: WU. 3 x 200m @ Faster than Race Pace (RPE 9-10) w/ full rec. CD.,Rest or Very Light Mobility/Stretch.,Run: WU. 2 x (1 min @ Target Hyrox Run Pace / 2 min easy jog). 5 min CD.,Run: 20 min Very Easy (RPE 3) + 2-3x100m strides.,Rest or Short Walk (15-20 min).,Run: 20-30 min @ Very Easy Pace (RPE 3). Shake out.,Rest & Hydrate. Visualize.
Wk 14: RACE WEEK!,Run: 15 min very easy jog (RPE 2-3) + 2x50m strides. Focus on feeling fresh.,Rest or light mobility work.,Rest or 10-15 min very light jog / walk.,Rest or Very light mobility/activation. Travel if needed.,Rest. Final mental prep. Hydrate. Eat well.,"HYROX RACE DAY! 
 Warm-up run protocol. 
 Execute your improved run!","CELEBRATE & RECOVER! 
 You earned it!"